AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
-5.67,-0.2,10.22,1.35,19.08,0.64,Sudden Braking
0.27,-0.32,17.25,-5.01,4.04,2.52,Speed Bump
0.07,-0.0,9.78,-2.04,2.49,1.6,Normal Riding
0.13,-0.34,9.62,0.69,1.68,0.44,Normal Riding
0.39,-0.15,13.67,0.26,16.78,1.41,Speed Bump
-6.3,0.48,9.21,2.51,8.82,-1.09,Sudden Braking
0.17,-0.07,9.86,3.35,-0.27,-0.37,Normal Riding
7.7,7.31,12.83,114.35,33.03,39.0,Major Crash
2.56,1.87,14.1,19.57,22.22,6.63,Minor Impact
1.84,2.87,10.19,0.19,1.9,113.96,Sharp Turns
6.42,8.78,17.45,65.73,76.98,0.24,Major Crash
-6.01,0.31,9.88,-2.37,2.8,3.06,Sudden Braking
6.68,3.69,18.14,84.84,79.69,97.78,Major Crash
3.15,3.47,11.65,26.52,11.38,32.68,Minor Impact
1.46,0.82,10.01,1.61,19.4,-0.83,Speed Bump
-0.04,2.23,9.48,0.83,-0.14,77.34,Sharp Turns
-7.24,0.12,9.26,-0.15,18.04,-0.65,Sudden Braking
-6.63,0.39,10.2,1.22,21.77,-2.26,Sudden Braking
0.22,-0.23,9.81,2.91,-3.01,0.47,Normal Riding
1.97,3.83,14.06,13.43,9.17,24.24,Minor Impact
5.93,6.11,18.92,87.39,63.31,90.22,Major Crash
-4.33,0.2,9.74,-0.24,9.07,-0.37,Sudden Braking
0.59,3.31,9.03,4.89,7.65,104.6,Sharp Turns
1.03,3.3,12.66,35.31,12.85,21.97,Minor Impact
-6.19,0.12,9.42,2.87,5.59,0.22,Sudden Braking
0.14,0.0,9.7,0.76,0.79,-1.33,Normal Riding
1.42,5.22,10.55,47.41,63.96,118.98,Major Crash
4.62,6.61,17.22,81.52,47.89,61.19,Major Crash
